Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Mike Adras,Northern Arizona,Big Sky,21.0,11.0,0.656,,,,1999-00,111.0,94.0,0.541,1.0,,,,111,94,0.541,1.0,,,
Cy Alexander,Tennessee State,OVC,13.0,15.0,0.464,,,,2003-04,34.0,53.0,0.391,,,,,310,253,0.551,5.0,,,
Steve Alford,Iowa,Big Ten,25.0,9.0,0.735,20.0,15.0,Lost First Round,1999-00,135.0,92.0,0.595,3.0,,,,213,140,0.603,4.0,1.0,,
Dana Altman,Creighton,MVC,20.0,10.0,0.667,,,,1994-95,238.0,130.0,0.647,6.0,,,,321,197,0.62,7.0,,,
Tommy Amaker,Michigan,Big Ten,22.0,11.0,0.667,,,,2001-02,86.0,71.0,0.548,,,,,154,126,0.55,1.0,1.0,,
Mike Anderson Sr,UAB,CUSA,24.0,7.0,0.774,,25.0,Lost First Round,2002-03,89.0,41.0,0.685,3.0,1.0,,,89,41,0.685,3.0,1.0,,
Tevester Anderson,Jackson State,SWAC,15.0,17.0,0.469,,,,2003-04,42.0,51.0,0.452,,,,,145,103,0.585,2.0,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,20.0,8.0,0.714,,,,2002-03,69.0,42.0,0.622,,,,,183,135,0.575,2.0,,,
Rick Barnes,Texas,Big 12,30.0,7.0,0.811,2.0,9.0,Lost Regional Final,1998-99,191.0,76.0,0.715,8.0,4.0,1.0,,393,210,0.652,14.0,5.0,1.0,
Rod Barnes,Ole Miss,SEC,14.0,16.0,0.467,,,,1998-99,141.0,109.0,0.564,3.0,1.0,,,141,109,0.564,3.0,1.0,,
Jim Baron,Rhode Island,A-10,14.0,14.0,0.5,,,,2001-02,67.0,82.0,0.45,,,,,273,284,0.49,2.0,,,
Murry Bartow,ETSU,A-Sun,15.0,13.0,0.536,,,,2003-04,52.0,38.0,0.578,1.0,,,,155,121,0.562,2.0,,,
Duggar Baucom,VMI,Big South,7.0,20.0,0.259,,,,2005-06,7.0,20.0,0.259,,,,,7,20,0.259,,,,
Butch Beard,Morgan State,MEAC,4.0,26.0,0.133,,,,2001-02,39.0,105.0,0.271,,,,,84,174,0.326,1.0,,,
John Beilein,West Virginia,Big East,22.0,11.0,0.667,14.0,22.0,Lost Regional Semifinal,2002-03,77.0,51.0,0.602,2.0,2.0,,,266,166,0.616,4.0,2.0,,
Dick Bennett,Washington State,Pac-10,11.0,17.0,0.393,,,,2003-04,36.0,49.0,0.424,,,,,316,227,0.582,7.0,1.0,1.0,
Randy Bennett,Saint Mary's,WCC,17.0,12.0,0.586,,,,2001-02,85.0,68.0,0.556,1.0,,,,85,68,0.556,1.0,,,
Ben Betts Jr,South Carolina State,MEAC,14.0,16.0,0.467,,,,1994-95,52.0,41.0,0.559,,,,,52,41,0.559,,,,
Paul Biancardi,Wright State,Horizon,13.0,15.0,0.464,,,,2003-04,42.0,44.0,0.488,,,,,42,44,0.488,,,,
Eddie Biedenbach,UNC Asheville,Big South,9.0,19.0,0.321,,,,1996-97,131.0,157.0,0.455,1.0,,,,160,208,0.435,1.0,,,
Dave Bike,Sacred Heart,NEC,11.0,17.0,0.393,,,,1999-00,53.0,142.0,0.272,,,,,53,142,0.272,,,,
Jim Boeheim ,Syracuse,Big East,23.0,12.0,0.657,16.0,21.0,Lost First Round,1976-77,726.0,253.0,0.742,25.0,13.0,3.0,1.0,726,253,0.742,25.0,13.0,3.0,1.0
Ken Bone,Portland State,Big Sky,12.0,16.0,0.429,,,,2005-06,12.0,16.0,0.429,,,,,12,16,0.429,,,,
John Brady,LSU,SEC,27.0,9.0,0.75,,19.0,Lost National Semifinal,1997-98,167.0,111.0,0.601,4.0,2.0,1.0,,256,188,0.577,4.0,2.0,1.0,
Matt Brady,Marist,MAAC,19.0,10.0,0.655,,,,2004-05,30.0,27.0,0.526,,,,,30,27,0.526,,,,
Bobby Braswell,Cal State Northridge,Big West,11.0,17.0,0.393,,,,1996-97,154.0,140.0,0.524,1.0,,,,154,140,0.524,1.0,,,
Ben Braun,California,Pac-10,20.0,11.0,0.645,,,Lost First Round,1996-97,186.0,121.0,0.606,5.0,1.0,,,370,254,0.593,8.0,2.0,,
Mike Brey,Notre Dame,Big East,16.0,14.0,0.533,,,,2000-01,118.0,70.0,0.628,3.0,1.0,,,217,122,0.64,5.0,1.0,,
Horace Broadnax,Savannah State,Ind,2.0,28.0,0.067,,,,2005-06,2.0,28.0,0.067,,,,,44,116,0.275,,,,
Kevin Bromley,Cal Poly,Big West,10.0,19.0,0.345,,,,2000-01,61.0,95.0,0.391,,,,,61,95,0.391,,,,
Milan Brown,Mount St. Mary's,NEC,13.0,17.0,0.433,,,,2003-04,30.0,56.0,0.349,,,,,30,56,0.349,,,,
Will Brown,Albany (NY),AEC,21.0,11.0,0.656,,,Lost First Round,2001-02,53.0,83.0,0.39,1.0,,,,53,83,0.39,1.0,,,
Brad Brownell,UNC Wilmington,CAA,25.0,8.0,0.758,,,Lost First Round,2002-03,83.0,40.0,0.675,2.0,,,,83,40,0.675,2.0,,,
Tim Buckley,Ball State,MAC,10.0,18.0,0.357,,,,2000-01,93.0,87.0,0.517,,,,,93,87,0.517,,,,
Mike Burns,Eastern Washington,Big Sky,15.0,15.0,0.5,,,,2004-05,23.0,35.0,0.397,,,,,23,35,0.397,,,,
Bob Burton,Cal State Fullerton,Big West,16.0,13.0,0.552,,,,2003-04,48.0,41.0,0.539,,,,,48,41,0.539,,,,
Rick Byrd,Belmont,A-Sun,20.0,11.0,0.645,,,Lost First Round,1999-00,103.0,101.0,0.505,1.0,,,,103,101,0.505,1.0,,,
Jeff Bzdelik,Air Force,MWC,24.0,7.0,0.774,,,Lost First Round,2005-06,24.0,7.0,0.774,1.0,,,,49,38,0.563,1.0,,,
Jim Calhoun,UConn,Big East,30.0,4.0,0.882,3.0,2.0,Lost Regional Final,1986-87,487.0,178.0,0.732,14.0,11.0,2.0,2.0,735,315,0.7,19.0,11.0,2.0,2.0
John Calipari,Memphis,CUSA,33.0,4.0,0.892,12.0,4.0,Lost Regional Final,2000-01,148.0,59.0,0.715,3.0,1.0,,,341,130,0.724,8.0,4.0,1.0,
Dave Calloway,Monmouth,NEC,19.0,15.0,0.559,,,Lost First Round,1997-98,130.0,122.0,0.516,3.0,,,,130,122,0.516,3.0,,,
Bret Campbell,UT-Martin,OVC,13.0,15.0,0.464,,,,1999-00,78.0,119.0,0.396,,,,,78,119,0.396,,,,
Jeff Capel III,VCU,CAA,19.0,10.0,0.655,,,,2002-03,79.0,41.0,0.658,1.0,,,,79,41,0.658,1.0,,,
Bill Carmody,Northwestern,Big Ten,14.0,15.0,0.483,,,,2000-01,82.0,95.0,0.463,,,,,174,120,0.592,2.0,,,
Terry Carroll,Denver,Sun Belt,16.0,15.0,0.516,,,,2001-02,75.0,74.0,0.503,,,,,75,74,0.503,,,,
Tim Carter,UTSA,Southland,11.0,17.0,0.393,,,,1995-96,160.0,152.0,0.513,2.0,,,,160,152,0.513,2.0,,,
John Chaney,Temple,A-10,17.0,15.0,0.531,,,,1982-83,516.0,253.0,0.671,17.0,5.0,,,516,253,0.671,17.0,5.0,,
Jim Christian,Kent State,MAC,25.0,9.0,0.735,,,Lost First Round,2002-03,88.0,41.0,0.682,1.0,,,,88,41,0.682,1.0,,,
Steve Cleveland,Fresno State,WAC,15.0,13.0,0.536,,,,2005-06,15.0,13.0,0.536,,,,,153,121,0.558,3.0,,,
Charlie Coles,Miami (OH),MAC,18.0,11.0,0.621,,,,1996-97,175.0,126.0,0.581,2.0,1.0,,,266,211,0.558,3.0,1.0,,
Barry Collier,Nebraska,Big 12,19.0,14.0,0.576,,,,2000-01,89.0,91.0,0.494,,,,,285,223,0.561,3.0,,,
Bobby Collins,Hampton,MEAC,16.0,16.0,0.5,,,Lost Opening Round,2002-03,65.0,57.0,0.533,1.0,,,,65,57,0.533,1.0,,,
Jimmy Collins,UIC,Horizon,16.0,15.0,0.516,,,,1996-97,162.0,138.0,0.54,3.0,,,,162,138,0.54,3.0,,,
Ronnie Courtney,Texas Southern,SWAC,8.0,22.0,0.267,,,,2001-02,62.0,82.0,0.431,1.0,,,,62,82,0.431,1.0,,,
Joe Cravens,Weber State,Big Sky,10.0,17.0,0.37,,,,1999-00,116.0,88.0,0.569,1.0,,,,170,141,0.547,1.0,,,
Tom Crean,Marquette,Big East,20.0,11.0,0.645,,,Lost First Round,1999-00,141.0,76.0,0.65,3.0,1.0,1.0,,141,76,0.65,3.0,1.0,1.0,
Jim Crews,Army,Patriot,5.0,22.0,0.185,,,,2002-03,19.0,89.0,0.176,,,,,313,298,0.512,4.0,,,
Mick Cronin,Murray State,OVC,24.0,7.0,0.774,,,Lost First Round,2003-04,69.0,24.0,0.742,2.0,,,,69,24,0.742,2.0,,,
Dan Dakich,Bowling Green State,MAC,9.0,21.0,0.3,,,,1997-98,143.0,122.0,0.54,,,,,143,122,0.54,,,,
Keith Dambrot,Akron,MAC,23.0,10.0,0.697,,,,2004-05,42.0,20.0,0.677,,,,,62,54,0.534,,,,
Robert Davenport,Texas-Rio Grande Valley,Ind,7.0,24.0,0.226,,,,2004-05,19.0,40.0,0.322,,,,,19,40,0.322,,,,
Dick Davey,Santa Clara,WCC,13.0,16.0,0.448,,,,1992-93,230.0,180.0,0.561,3.0,,,,230,180,0.561,3.0,,,
Emmett Davis,Colgate,Patriot,10.0,19.0,0.345,,,,1998-99,108.0,119.0,0.476,,,,,108,119,0.476,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,16.0,12.0,0.571,,,,2002-03,68.0,50.0,0.576,,,,,139,100,0.582,2.0,,,
Larry Davis,Furman,Southern,15.0,13.0,0.536,,,,1997-98,124.0,139.0,0.471,,,,,124,139,0.471,,,,
Mike Davis,Indiana,Big Ten,19.0,12.0,0.613,24.0,,Lost Second Round,2000-01,115.0,79.0,0.593,4.0,1.0,1.0,,115,79,0.593,4.0,1.0,1.0,
Tom Davis,Drake,MVC,12.0,19.0,0.387,,,,2003-04,37.0,51.0,0.42,,,,,580,341,0.63,11.0,5.0,,
Ed DeChellis,Penn State,Big Ten,15.0,15.0,0.5,,,,2003-04,31.0,57.0,0.352,,,,,136,150,0.476,1.0,,,
Joe DeSantis,Quinnipiac,NEC,12.0,16.0,0.429,,,,1998-99,95.0,130.0,0.422,,,,,95,130,0.422,,,,
Mike Deane,Wagner,NEC,13.0,14.0,0.481,,,,2003-04,39.0,47.0,0.453,,,,,357,241,0.597,4.0,,,
Mike Dement,UNC Greensboro,Southern,12.0,19.0,0.387,,,,1991-92,67.0,75.0,0.472,,,,,274,265,0.508,1.0,,,
Tommy Dempsey,Rider,MAAC,8.0,20.0,0.286,,,,2005-06,8.0,20.0,0.286,,,,,8,20,0.286,,,,
Pat Dennis,The Citadel,Southern,10.0,21.0,0.323,,,,1992-93,157.0,233.0,0.403,,,,,157,233,0.403,,,,
Howie Dickenman,Central Connecticut,NEC,18.0,11.0,0.621,,,,1996-97,156.0,133.0,0.54,2.0,,,,156,133,0.54,2.0,,,
Dave Dickerson,Tulane,CUSA,12.0,17.0,0.414,,,,2005-06,12.0,17.0,0.414,,,,,12,17,0.414,,,,
Jamie Dixon,Pitt,Big East,25.0,8.0,0.758,,16.0,Lost Second Round,2003-04,76.0,22.0,0.776,3.0,1.0,,,76,22,0.776,3.0,1.0,,
Matt Doherty,Florida Atlantic,A-Sun,15.0,13.0,0.536,,,,2005-06,15.0,13.0,0.536,,,,,90,71,0.559,1.0,,,
Steve Donahue,Cornell,Ivy,13.0,15.0,0.464,,,,2000-01,58.0,105.0,0.356,,,,,58,105,0.356,,,,
Billy Donovan,Florida,SEC,33.0,6.0,0.846,,11.0,Won National Final,1996-97,226.0,98.0,0.698,8.0,3.0,2.0,1.0,261,118,0.689,8.0,3.0,2.0,1.0
Neil Dougherty,TCU,MWC,6.0,25.0,0.194,,,,2002-03,48.0,75.0,0.39,,,,,48,75,0.39,,,,
Pat Douglass,UC-Irvine,Big West,16.0,13.0,0.552,,,,1997-98,138.0,120.0,0.535,,,,,138,120,0.535,,,,
Homer Drew,Valparaiso,Mid-Cont,17.0,12.0,0.586,,,,1988-89,285.0,226.0,0.558,7.0,1.0,,,285,226,0.558,7.0,1.0,,
Scott Drew,Baylor,Big 12,4.0,13.0,0.235,,,,2003-04,21.0,53.0,0.284,,,,,41,64,0.39,,,,
Terry Dunn,Dartmouth,Ivy,6.0,21.0,0.222,,,,2004-05,16.0,38.0,0.296,,,,,16,38,0.296,,,,
Fran Dunphy,Penn,Ivy,20.0,9.0,0.69,,,Lost First Round,1989-90,310.0,163.0,0.655,9.0,,,,310,163,0.655,9.0,,,
Randy Dunton,Liberty,Big South,7.0,23.0,0.233,,,,1997-98,63.0,85.0,0.426,1.0,,,,63,85,0.426,1.0,,,
Mick Durham,Montana State,Big Sky,15.0,15.0,0.5,,,,1990-91,246.0,213.0,0.536,1.0,,,,246,213,0.536,1.0,,,
Orlando Early,Louisiana-Monroe,Southland,10.0,18.0,0.357,,,,2005-06,10.0,18.0,0.357,,,,,10,18,0.357,,,,
Jerry Eaves,North Carolina A&T,MEAC,6.0,23.0,0.207,,,,2003-04,15.0,72.0,0.172,,,,,15,72,0.172,,,,
Larry Eustachy,Southern Miss,CUSA,10.0,21.0,0.323,,,,2004-05,21.0,38.0,0.356,,,,,281,183,0.606,3.0,1.0,,
Bill Evans,Southern Utah,Mid-Cont,10.0,20.0,0.333,,,,1991-92,192.0,209.0,0.479,1.0,,,,192,209,0.479,1.0,,,
Jessie Evans,San Francisco,WCC,11.0,17.0,0.393,,,,2004-05,28.0,31.0,0.475,,,,,160,112,0.588,2.0,,,
Rob Evans,Arizona State,Pac-10,11.0,17.0,0.393,,,,1998-99,119.0,120.0,0.498,1.0,,,,205,201,0.505,3.0,,,
Ron Everhart,Northeastern,CAA,19.0,11.0,0.633,,,,2001-02,82.0,68.0,0.547,,,,,174,172,0.503,,,,
Houston Fancher,Appalachian State,Southern,14.0,16.0,0.467,,,,2000-01,81.0,97.0,0.455,,,,,81,97,0.455,,,,
Dennis Felton,Georgia,SEC,15.0,15.0,0.5,,,,2003-04,39.0,49.0,0.443,,,,,139,103,0.574,3.0,,,
Jim Ferry,LIU,NEC,12.0,16.0,0.429,,,,2002-03,43.0,69.0,0.384,,,,,43,69,0.384,,,,
Mark Few,Gonzaga,WCC,29.0,4.0,0.879,8.0,5.0,Lost Regional Semifinal,1999-00,188.0,41.0,0.821,7.0,3.0,,,188,41,0.821,7.0,3.0,,
Dane Fife,Purdue Fort Wayne,Ind,10.0,18.0,0.357,,,,2005-06,10.0,18.0,0.357,,,,,10,18,0.357,,,,
Steve Fisher ,San Diego State,MWC,24.0,9.0,0.727,,,Lost First Round,1999-00,105.0,106.0,0.498,2.0,,,,289,188,0.606,9.0,4.0,3.0,1.0
Pat Flannery,Bucknell,Patriot,27.0,5.0,0.844,,,Lost Second Round,1994-95,199.0,151.0,0.569,2.0,,,,199,151,0.569,2.0,,,
Rob Flaska,Centenary (LA),Mid-Cont,4.0,23.0,0.148,,,,2005-06,4.0,23.0,0.148,,,,,4,23,0.148,,,,
Bruiser Flint,Drexel,CAA,15.0,16.0,0.484,,,,2001-02,83.0,65.0,0.561,,,,,169,137,0.552,2.0,,,
Tim Floyd,USC,Pac-10,17.0,13.0,0.567,,,,2005-06,17.0,13.0,0.567,,,,,259,144,0.643,5.0,1.0,,
Travis Ford,UMass,A-10,13.0,15.0,0.464,,,,2005-06,13.0,15.0,0.464,,,,,74,95,0.438,1.0,,,
Mark Fox,Nevada,WAC,27.0,6.0,0.818,22.0,20.0,Lost First Round,2004-05,52.0,13.0,0.8,2.0,,,,52,13,0.8,2.0,,,
Dwight Freeman,Norfolk State,MEAC,13.0,18.0,0.419,,,,2002-03,52.0,64.0,0.448,,,,,98,129,0.432,,,,
Mike Garland,Cleveland State,Horizon,10.0,18.0,0.357,,,,2003-04,23.0,60.0,0.277,,,,,23,60,0.277,,,,
Gary Garner,Southeast Missouri State,OVC,7.0,20.0,0.259,,,,1997-98,126.0,132.0,0.488,1.0,,,,221,236,0.484,1.0,,,
Ray Giacoletti,Utah,MWC,14.0,15.0,0.483,,,,2004-05,43.0,21.0,0.672,1.0,1.0,,,112,71,0.612,2.0,1.0,,
John Giannini,La Salle,A-10,18.0,10.0,0.643,,,,2004-05,28.0,29.0,0.491,,,,,153,140,0.522,,,,
Mike Gillespie,Florida A&M,MEAC,14.0,17.0,0.452,,,,2001-02,69.0,80.0,0.463,1.0,,,,69,80,0.463,1.0,,,
Mike Gillian,Longwood,Ind,10.0,20.0,0.333,,,,2004-05,11.0,50.0,0.18,,,,,11,50,0.18,,,,
Billy Gillispie,Texas A&M,Big 12,22.0,9.0,0.71,,,Lost Second Round,2004-05,43.0,19.0,0.694,1.0,,,,73,51,0.589,2.0,,,
Bobby Gonzalez,Manhattan,MAAC,20.0,11.0,0.645,,,,1999-00,129.0,77.0,0.626,2.0,,,,129,77,0.626,2.0,,,
Mark Gottfried,Alabama,SEC,18.0,13.0,0.581,15.0,,Lost Second Round,1998-99,161.0,96.0,0.626,5.0,1.0,,,229,120,0.656,7.0,1.0,,
Greg Graham,Boise State,WAC,14.0,15.0,0.483,,,,2002-03,66.0,59.0,0.528,,,,,66,59,0.528,,,,
James Green,Mississippi Valley State,SWAC,9.0,19.0,0.321,,,,2005-06,9.0,19.0,0.321,,,,,132,130,0.504,,,,
Tom Green,FDU,NEC,20.0,12.0,0.625,,,,1983-84,378.0,292.0,0.564,4.0,,,,378,292,0.564,4.0,,,
Seth Greenberg,Virginia Tech,ACC,14.0,16.0,0.467,,,,2003-04,45.0,44.0,0.506,,,,,258,214,0.547,2.0,,,
Brian Gregory,Dayton,A-10,14.0,17.0,0.452,,,,2003-04,56.0,37.0,0.602,1.0,,,,56,37,0.602,1.0,,,
Frank Haith,Miami (FL),ACC,18.0,16.0,0.529,,,,2004-05,34.0,29.0,0.54,,,,,34,29,0.54,,,,
Leonard Hamilton,Florida State,ACC,20.0,10.0,0.667,,,,2002-03,65.0,58.0,0.528,,,,,265,268,0.497,3.0,1.0,,
Larry Harrison,Hartford,AEC,13.0,15.0,0.464,,,,2000-01,67.0,107.0,0.385,,,,,67,107,0.385,,,,
Darrell Hawkins,Prairie View,SWAC,5.0,24.0,0.172,,,,2005-06,5.0,24.0,0.172,,,,,5,24,0.172,,,,
Steve Hawkins,Western Michigan,MAC,14.0,17.0,0.452,,,,2003-04,60.0,35.0,0.632,1.0,,,,60,35,0.632,1.0,,,
Stan Heath,Arkansas,SEC,22.0,10.0,0.688,,,Lost First Round,2002-03,61.0,57.0,0.517,1.0,,,,91,63,0.591,2.0,1.0,,
David Henderson,Delaware,CAA,9.0,21.0,0.3,,,,2000-01,85.0,93.0,0.478,,,,,85,93,0.478,,,,
Bill Herrion,New Hampshire,AEC,12.0,17.0,0.414,,,,2005-06,12.0,17.0,0.414,,,,,249,186,0.572,3.0,,,
Tom Herrion,College of Charleston,Southern,17.0,11.0,0.607,,,,2002-03,80.0,38.0,0.678,,,,,80,38,0.678,,,,
Paul Hewitt,Georgia Tech,ACC,11.0,17.0,0.393,,,,2000-01,107.0,83.0,0.563,3.0,1.0,1.0,,173,110,0.611,4.0,1.0,1.0,
Barry Hinson,Missouri State,MVC,22.0,9.0,0.71,,,,1999-00,130.0,90.0,0.591,,,,,166,113,0.595,,,,
Karl Hobbs,George Washington,A-10,27.0,3.0,0.9,21.0,14.0,Lost Second Round,2001-02,91.0,56.0,0.619,2.0,,,,91,56,0.619,2.0,,,
Brad Holland,San Diego,WCC,18.0,12.0,0.6,,,,1994-95,182.0,162.0,0.529,1.0,,,,205,193,0.515,1.0,,,
Van Holt,Arkansas-Pine Bluff,SWAC,13.0,16.0,0.448,,,,2002-03,25.0,87.0,0.223,,,,,25,87,0.223,,,,
Michael Holton,Portland,WCC,11.0,18.0,0.379,,,,2001-02,54.0,91.0,0.372,,,,,54,91,0.372,,,,
Darrin Horn,Western Kentucky,Sun Belt,23.0,8.0,0.742,,,,2003-04,60.0,30.0,0.667,,,,,60,30,0.667,,,,
Ben Howland,UCLA,Pac-10,32.0,7.0,0.821,19.0,7.0,Lost National Final,2003-04,61.0,35.0,0.635,2.0,1.0,1.0,,227,136,0.625,5.0,3.0,1.0,
Dick Hunsaker,Utah Valley,Ind,16.0,13.0,0.552,,,,2004-05,32.0,25.0,0.561,,,,,147,71,0.674,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,13.0,17.0,0.433,,,,2005-06,13.0,17.0,0.433,,,,,217,165,0.568,1.0,,,
Ron Hunter,IU Indianapolis,Mid-Cont,19.0,10.0,0.655,,,,1998-99,120.0,118.0,0.504,1.0,,,,120,118,0.504,1.0,,,
Tony Ingle,Kennesaw State,A-Sun,12.0,17.0,0.414,,,,2005-06,12.0,17.0,0.414,,,,,12,36,0.25,,,,
Tom Izzo,Michigan State,Big Ten,22.0,12.0,0.647,4.0,,Lost First Round,1995-96,255.0,109.0,0.701,9.0,6.0,4.0,1.0,255,109,0.701,9.0,6.0,4.0,1.0
Gil Jackson,Howard,MEAC,7.0,22.0,0.241,,,,2005-06,7.0,22.0,0.241,,,,,7,22,0.241,,,,
Greg Jackson,Delaware State,MEAC,21.0,14.0,0.6,,,,2000-01,97.0,83.0,0.539,1.0,,,,97,83,0.539,1.0,,,
Lewis Jackson,Alabama State,SWAC,12.0,18.0,0.4,,,,2005-06,12.0,18.0,0.4,,,,,12,18,0.4,,,,
Jerome Jenkins,Sacramento State,Big Sky,15.0,15.0,0.5,,,,2000-01,66.0,104.0,0.388,,,,,66,104,0.388,,,,
Rob Jeter,Milwaukee,Horizon,22.0,9.0,0.71,,,Lost Second Round,2005-06,22.0,9.0,0.71,1.0,,,,22,9,0.71,1.0,,,
Ron Jirsa,Marshall,CUSA,12.0,16.0,0.429,,,,2003-04,30.0,55.0,0.353,,,,,65,85,0.433,,,,
Jay John,Oregon State,Pac-10,13.0,18.0,0.419,,,,2002-03,55.0,64.0,0.462,,,,,55,64,0.462,,,,
Trent Johnson,Stanford,Pac-10,16.0,14.0,0.533,13.0,,,2004-05,34.0,27.0,0.557,1.0,,,,113,101,0.528,2.0,1.0,,
Bobby Jones,Saint Francis (PA),NEC,4.0,24.0,0.143,,,,1999-00,71.0,123.0,0.366,,,,,71,123,0.366,,,,
James Jones,Yale,Ivy,15.0,14.0,0.517,,,,1999-00,90.0,106.0,0.459,,,,,90,106,0.459,,,,
Jeff Jones,American,Patriot,12.0,17.0,0.414,,,,2000-01,87.0,88.0,0.497,,,,,233,192,0.548,5.0,2.0,,
Joe Jones,Columbia,Ivy,11.0,16.0,0.407,,,,2003-04,33.0,48.0,0.407,,,,,33,48,0.407,,,,
Johnny Jones,North Texas,Sun Belt,14.0,14.0,0.5,,,,2001-02,63.0,78.0,0.447,,,,,78,94,0.453,,,,
Kevin Jones,Chicago State,Mid-Cont,11.0,19.0,0.367,,,,2002-03,32.0,70.0,0.314,,,,,32,70,0.314,,,,
Stan Joplin,Toledo,MAC,20.0,11.0,0.645,,,,1996-97,172.0,124.0,0.581,,,,,172,124,0.581,,,,
Rob Judson,Northern Illinois,MAC,17.0,11.0,0.607,,,,2001-02,67.0,78.0,0.462,,,,,67,78,0.462,,,,
Greg Kampe,Oakland,Mid-Cont,11.0,18.0,0.379,,,,1999-00,96.0,111.0,0.464,1.0,,,,96,111,0.464,1.0,,,
Danny Kaspar,Stephen F. Austin,Southland,17.0,12.0,0.586,,,,2000-01,93.0,76.0,0.55,,,,,93,76,0.55,,,,
Dean Keener,James Madison,CAA,5.0,23.0,0.179,,,,2004-05,11.0,45.0,0.196,,,,,11,45,0.196,,,,
Andy Kennedy,Cincinnati,Big East,21.0,13.0,0.618,,,,2005-06,21.0,13.0,0.618,,,,,21,13,0.618,,,,
Pat Kennedy,Towson,CAA,12.0,16.0,0.429,,,,2004-05,17.0,40.0,0.298,,,,,433,351,0.552,8.0,2.0,,
Ernie Kent,Oregon,Pac-10,15.0,18.0,0.455,,,,1997-98,164.0,112.0,0.594,3.0,1.0,,,254,192,0.57,4.0,1.0,,
Matt Kilcullen,North Florida,A-Sun,6.0,22.0,0.214,,,,2005-06,6.0,22.0,0.214,,,,,99,121,0.45,1.0,,,
Bob Knight,Texas Tech,Big 12,15.0,17.0,0.469,,,,2001-02,105.0,61.0,0.633,3.0,1.0,,,866,353,0.71,27.0,15.0,5.0,3.0
Tod Kowalczyk,Green Bay,Horizon,15.0,16.0,0.484,,,,2002-03,59.0,58.0,0.504,,,,,59,58,0.504,,,,
Lon Kruger,UNLV,MWC,17.0,13.0,0.567,,,,2004-05,34.0,27.0,0.557,,,,,352,260,0.575,9.0,2.0,1.0,
Larry Krystkowiak,Montana,Big Sky,24.0,7.0,0.774,,,Lost Second Round,2004-05,42.0,20.0,0.677,2.0,,,,42,20,0.677,2.0,,,
Mike Krzyzewski,Duke,ACC,32.0,4.0,0.889,1.0,1.0,Lost Regional Semifinal,1980-81,680.0,191.0,0.781,22.0,17.0,10.0,3.0,753,250,0.751,22.0,17.0,10.0,3.0
Mike LaPlante,Jacksonville State,OVC,16.0,13.0,0.552,,,,2000-01,79.0,94.0,0.457,,,,,79,94,0.457,,,,
Robbie Laing,Campbell,A-Sun,10.0,18.0,0.357,,,,2003-04,15.0,67.0,0.183,,,,,15,67,0.183,,,,
Billy Lange,Navy,Patriot,10.0,18.0,0.357,,,,2004-05,19.0,37.0,0.339,,,,,19,37,0.339,,,,
Jim Larranaga,George Mason,CAA,27.0,8.0,0.771,,,Lost National Semifinal,1997-98,166.0,105.0,0.613,3.0,1.0,1.0,,335,250,0.573,3.0,1.0,1.0,
Dale Layer,Colorado State,MWC,16.0,15.0,0.516,,,,2000-01,86.0,93.0,0.48,1.0,,,,86,93,0.48,1.0,,,
Jeff Lebo,Auburn,SEC,12.0,16.0,0.429,,,,2004-05,26.0,33.0,0.441,,,,,141,96,0.595,,,,
Bob Leckie,St. Peter's,MAAC,17.0,15.0,0.531,,,,2000-01,67.0,107.0,0.385,,,,,67,107,0.385,,,,
Robert Lee,Louisiana,Sun Belt,13.0,16.0,0.448,,,,2004-05,33.0,27.0,0.55,1.0,,,,33,27,0.55,1.0,,,
Dave Leitao,Virginia,ACC,15.0,15.0,0.5,,,,2005-06,15.0,15.0,0.5,,,,,95,84,0.531,1.0,,,
Jim Les,Bradley,MVC,22.0,11.0,0.667,,,Lost Regional Semifinal,2002-03,62.0,60.0,0.508,1.0,1.0,,,62,60,0.508,1.0,1.0,,
Lawrence Lesett Jr,Maryland-Eastern Shore,MEAC,7.0,22.0,0.241,,,,2004-05,9.0,48.0,0.158,,,,,9,48,0.158,,,,
Todd Lickliter,Butler,Horizon,20.0,13.0,0.606,,,,2001-02,102.0,54.0,0.654,1.0,1.0,,,102,54,0.654,1.0,1.0,,
Mike Lonergan,Vermont,AEC,13.0,17.0,0.433,,,,2005-06,13.0,17.0,0.433,,,,,13,17,0.433,,,,
Dave Loos,Austin Peay,OVC,17.0,14.0,0.548,,,,1990-91,250.0,224.0,0.527,2.0,,,,250,224,0.527,2.0,,,
Chris Lowery,Southern Illinois,MVC,22.0,11.0,0.667,,,Lost First Round,2004-05,49.0,19.0,0.721,2.0,,,,49,19,0.721,2.0,,,
Bart Lundy,High Point,Big South,16.0,13.0,0.552,,,,2003-04,48.0,42.0,0.533,,,,,48,42,0.533,,,,
Bobby Lutz,Charlotte,A-10,19.0,13.0,0.594,,,,1998-99,154.0,96.0,0.616,5.0,,,,154,96,0.616,5.0,,,
